State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Disadvantaged?,Not Disadvantaged,Tract Status?
NY,Arthur Kill,2490,2013,1490286.75,,4.407,873495.1,621.652,14710107.13,0,1,Not Disadvantaged
NY,East River,2493,2013,2602385.25,9100610,68.75,2402563.525,1014.048,40292196.1,0,1,Not Disadvantaged
NY,Ravenswood Generating Station,2500,2013,3338321.42,,158.37,1783226.713,821.09,29725654.86,0,1,Not Disadvantaged
NY,E F Barrett,2511,2013,1229083.25,,33.755,817804.65,810.377,13717811.73,0,1,Not Disadvantaged
NY,Glenwood,2514,2013,2890,,10.059,3259.1,11.578,40231.5,0,1,Not Disadvantaged
NY,Northport,2516,2013,3410900.25,,841.659,2073221.025,1143.397,34068952.63,0,1,Not Disadvantaged
NY,Port Jefferson Energy Center,2517,2013,533878,,76.853,339474.95,119.761,5635887.175,0,1,Not Disadvantaged
NY,West Babylon Facility,2521,2013,2440,,4.781,2816.2,12.066,34768.7,0,1,Not Disadvantaged
NY,"Cayuga Operating Company, LLC",2535,2013,908048.47,,2654.817,907301.143,1403.546,8843085.871,0,1,Not Disadvantaged
NY,Bethlehem Energy Center (Albany),2539,2013,2673896.21,,8.374,1658654.171,113.858,27910092.02,0,1,Not Disadvantaged
NY,Oswego Harbor Power,2594,2013,91808.56,,333.14,92180.704,105.87,1139583.43,1,0,Disadvantaged
NY,Bowline Generating Station,2625,2013,1304957.8,,17.791,774643.973,957.293,13028434.64,1,0,Disadvantaged
NY,Hillburn,2628,2013,83.5,,0.001,257.26,0.879,4330.005,0,1,Not Disadvantaged
NY,Shoemaker,2632,2013,2355,,0.009,1819.35,6.471,30615.175,0,1,Not Disadvantaged
NY,Freeport Power Plant No. 2,2679,2013,65126.75,,0.188,37849.925,4.613,636911.225,1,0,Disadvantaged
NY,S A Carlson,2682,2013,206013.5,18881,37.132,138652.3,143.697,2311364.7,1,0,Disadvantaged
NY,Somerset Operating Company  (Kintigh),6082,2013,2224627.08,,5737.102,2196386.523,3766.898,21407244.1,0,1,Not Disadvantaged
NY,Wading River Facility,7146,2013,46598,,78.45,52261.85,64.357,644153.95,0,1,Not Disadvantaged
NY,Richard M Flynn (Holtsville),7314,2013,808589.54,,8.582,579984.407,143.844,9735766.486,0,1,Not Disadvantaged
NY,Glenwood Landing Energy Center,7869,2013,145886.5,,0.41,85935.2,11.703,1443647,0,1,Not Disadvantaged
NY,Vernon Boulevard,7909,2013,84979.18,,0.239,47300.73,4.496,795942.326,0,1,Not Disadvantaged
NY,23rd and 3rd,7910,2013,195855.83,,0.569,112749.696,10.36,1897260.904,0,1,Not Disadvantaged
NY,Brentwood,7912,2013,81337.66,,0.237,46876.744,3.987,788752.711,1,0,Disadvantaged
NY,Hell Gate,7913,2013,49047.8,,0.146,29029.3,2.728,488471.495,1,0,Disadvantaged
